Organism.GOLD Organism ID,Organism.Organism Name,Organism.Domain,Organism.Species,Organism.Phylum,Organism.NCBI Taxonomy ID,Organism.Type Strain,Organism.Organism Type,Organism.Add Date,Organism.NCBI Phylum,Organism.NCBI Class,Organism.NCBI Order,Organism.NCBI Family,Organism.NCBI Genus,Organism.NCBI Species,Organism.Cell Diameter,Organism.Cell Shape,Organism.Color,Organism.Gram Stain,Organism.Motility,Organism.Oxygen Requirement,Organism.pH,Organism.pH2,Organism.Salinity,Organism.Pressure,Organism.Sporulation,Organism.Carbon Source,Organism.Growth Temperature,Organism.Growth Temperature2,Organism.Cell Length,Organism.Commercial Strain,Organism.Commercial Strain Comments,Organism.Propagation,Organism.Sample Collection Site,Organism.Isolation Country/Ocean.Term,Organism.Collection Method,Organism.Ecosystem,Organism.Ecosystem Category,Organism.Ecosystem Type,Organism.Geographic Location,Organism.Latitude,Organism.Longitude,Organism.Altitude,Organism.Elevation,Organism.Depth,Organism.Subsurface Depth,Organism.Temperature Range,Organism.Isolation Host Name,Organism.Host Taxonomy ID,Organism.Host Gender,Organism.Host Body Site,Organism.Host Body Product,Organism.Host Specificity or Range,Organism.Host Comments
Go0624535,Aspergillus ochraceus 260-112,EUKARYAL,Aspergillus ochraceus,FUNGI-ASCOMYCOTA,40380,Yes,Natural,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ochraceus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mesophile,,,,,,,,
Go0624534,Aspergillus ochraceus ATCC 1008,EUKARYAL,Aspergillus ochraceus,FUNGI-ASCOMYCOTA,40380,Yes,Natural,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ochraceus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mesophile,,,,,,,,
Go0624533,Aspergillus ochraceus CBS 108.08,EUKARYAL,Aspergillus ochraceus,FUNGI-ASCOMYCOTA,40380,Yes,Natural,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ochraceus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mesophile,,,,,,,,
Go0624532,Aspergillus ochraceus CMI 016247,EUKARYAL,Aspergillus ochraceus,FUNGI-ASCOMYCOTA,40380,Yes,Natural,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ochraceus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mesophile,,,,,,,,
Go0624531,Aspergillus ochraceus DSM 824,EUKARYAL,Aspergillus ochraceus,FUNGI-ASCOMYCOTA,40380,Yes,Natural,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ochraceus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mesophile,,,,,,,,
Go0624530,Aspergillus ochraceus IMI 016247,EUKARYAL,Aspergillus ochraceus,FUNGI-ASCOMYCOTA,40380,Yes,Natural,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ochraceus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mesophile,,,,,,,,
Go0624529,Aspergillus ochraceus NRRL 1642,EUKARYAL,Aspergillus ochraceus,FUNGI-ASCOMYCOTA,40380,Yes,Natural,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ochraceus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mesophile,,,,,,,,
Go0624528,Aspergillus ochraceus QM 6731,EUKARYAL,Aspergillus ochraceus,FUNGI-ASCOMYCOTA,40380,Yes,Natural,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ochraceus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mesophile,,,,,,,,
Go0624527,Aspergillus ochraceus WB 398,EUKARYAL,Aspergillus ochraceus,FUNGI-ASCOMYCOTA,40380,Yes,Natural,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ochraceus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mesophile,,,,,,,,
Go0624421,Aspergillus alliaceus 4656 (WB 315),EUKARYAL,Aspergillus alliaceus,FUNGI-ASCOMYCOTA,209559,Yes,Natural,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus alliaceus,,,,,,,,,,,,,,,,,,,Macrobasis albida; dead beetle,USA,,Host-associated,Arthropoda: Insects,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0624420,Aspergillus alliaceus ATCC 10060,EUKARYAL,Aspergillus alliaceus,FUNGI-ASCOMYCOTA,209559,Yes,Natural,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus alliaceus,,,,,,,,,,,,,,,,,,,Macrobasis albida; dead beetle,USA,,Host-associated,Arthropoda: Insects,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0624419,Aspergillus alliaceus CMI 051982,EUKARYAL,Aspergillus alliaceus,FUNGI-ASCOMYCOTA,209559,Yes,Natural,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus alliaceus,,,,,,,,,,,,,,,,,,,Macrobasis albida; dead beetle,USA,,Host-associated,Arthropoda: Insects,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0624418,Aspergillus alliaceus DSM 813,EUKARYAL,Aspergillus alliaceus,FUNGI-ASCOMYCOTA,209559,Yes,Natural,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus alliaceus,,,,,,,,,,,,,,,,,,,Macrobasis albida; dead beetle,USA,,Host-associated,Arthropoda: Insects,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0624417,Aspergillus alliaceus IFO 7538,EUKARYAL,Aspergillus alliaceus,FUNGI-ASCOMYCOTA,209559,Yes,Natural,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus alliaceus,,,,,,,,,,,,,,,,,,,Macrobasis albida; dead beetle,USA,,Host-associated,Arthropoda: Insects,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0624416,Aspergillus alliaceus IMI 051982,EUKARYAL,Aspergillus alliaceus,FUNGI-ASCOMYCOTA,209559,Yes,Natural,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus alliaceus,,,,,,,,,,,,,,,,,,,Macrobasis albida; dead beetle,USA,,Host-associated,Arthropoda: Insects,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0624415,Aspergillus alliaceus NBRC 7538,EUKARYAL,Aspergillus alliaceus,FUNGI-ASCOMYCOTA,209559,Yes,Natural,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus alliaceus,,,,,,,,,,,,,,,,,,,Macrobasis albida; dead beetle,USA,,Host-associated,Arthropoda: Insects,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0624414,Aspergillus alliaceus NRRL 315,EUKARYAL,Aspergillus alliaceus,FUNGI-ASCOMYCOTA,209559,Yes,Natural,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus alliaceus,,,,,,,,,,,,,,,,,,,Macrobasis albida; dead beetle,USA,,Host-associated,Arthropoda: Insects,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0624413,Aspergillus alliaceus QM 1885,EUKARYAL,Aspergillus alliaceus,FUNGI-ASCOMYCOTA,209559,Yes,Natural,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus alliaceus,,,,,,,,,,,,,,,,,,,Macrobasis albida; dead beetle,USA,,Host-associated,Arthropoda: Insects,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0623778,Erythrobasidium hasegawianum CBS 8253,EUKARYAL,Erythrobasidium hasegawianum,FUNGI-BASIDIOMYCOTA,1397323,Yes,Natural,Basidiomycota,Cystobasidiomycetes,Erythrobasidiales,Erythrobasidiaceae,Erythrobasidium,Erythrobasidium hasegawianum,,,,,,,,,,,,,,,,,,,brewers's yeast; spent,,,Engineered,Food production,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0623777,Erythrobasidium hasegawianum CCRC 21376,EUKARYAL,Erythrobasidium hasegawianum,FUNGI-BASIDIOMYCOTA,1397323,Yes,Natural,Basidiomycota,Cystobasidiomycetes,Erythrobasidiales,Erythrobasidiaceae,Erythrobasidium,Erythrobasidium hasegawianum,,,,,,,,,,,,,,,,,,,brewers's yeast; spent,,,Engineered,Food production,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0623776,Erythrobasidium hasegawianum CCY 20-9-3,EUKARYAL,Erythrobasidium hasegawianum,FUNGI-BASIDIOMYCOTA,1397323,Yes,Natural,Basidiomycota,Cystobasidiomycetes,Erythrobasidiales,Erythrobasidiaceae,Erythrobasidium,Erythrobasidium hasegawianum,,,,,,,,,,,,,,,,,,,brewers's yeast; spent,,,Engineered,Food production,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0623775,Erythrobasidium hasegawianum DSM 7505,EUKARYAL,Erythrobasidium hasegawianum,FUNGI-BASIDIOMYCOTA,1397323,Yes,Natural,Basidiomycota,Cystobasidiomycetes,Erythrobasidiales,Erythrobasidiaceae,Erythrobasidium,Erythrobasidium hasegawianum,,,,,,,,,,,,,,,,,,,brewers's yeast; spent,,,Engineered,Food production,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0623774,Erythrobasidium hasegawianum IAM 12911,EUKARYAL,Erythrobasidium hasegawianum,FUNGI-BASIDIOMYCOTA,1397323,Yes,Natural,Basidiomycota,Cystobasidiomycetes,Erythrobasidiales,Erythrobasidiaceae,Erythrobasidium,Erythrobasidium hasegawianum,,,,,,,,,,,,,,,,,,,brewers's yeast; spent,,,Engineered,Food production,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0623773,Erythrobasidium hasegawianum IFO 1058,EUKARYAL,Erythrobasidium hasegawianum,FUNGI-BASIDIOMYCOTA,1397323,Yes,Natural,Basidiomycota,Cystobasidiomycetes,Erythrobasidiales,Erythrobasidiaceae,Erythrobasidium,Erythrobasidium hasegawianum,,,,,,,,,,,,,,,,,,,brewers's yeast; spent,,,Engineered,Food production,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0623772,Erythrobasidium hasegawianum NBRC 1058,EUKARYAL,Erythrobasidium hasegawianum,FUNGI-BASIDIOMYCOTA,1397323,Yes,Natural,Basidiomycota,Cystobasidiomycetes,Erythrobasidiales,Erythrobasidiaceae,Erythrobasidium,Erythrobasidium hasegawianum,,,,,,,,,,,,,,,,,,,brewers's yeast; spent,,,Engineered,Food production,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0623771,Erythrobasidium hasegawianum NRRL Y-17193,EUKARYAL,Erythrobasidium hasegawianum,FUNGI-BASIDIOMYCOTA,1397323,Yes,Natural,Basidiomycota,Cystobasidiomycetes,Erythrobasidiales,Erythrobasidiaceae,Erythrobasidium,Erythrobasidium hasegawianum,,,,,,,,,,,,,,,,,,,brewers's yeast; spent,,,Engineered,Food production,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0623470,Nematospora coryli ATCC 24237,EUKARYAL,Nematospora coryli,FUNGI-ASCOMYCOTA,33173,Yes,Natural,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Eremothecium,Eremothecium coryli,,,,,,,,,,,,,,,,,,,Corylus avellana,Italy,,Host-associated,Plants,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0623469,Nematospora coryli CBS 2608,EUKARYAL,Nematospora coryli,FUNGI-ASCOMYCOTA,33173,Yes,Natural,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Eremothecium,Eremothecium coryli,,,,,,,,,,,,,,,,,,,Corylus avellana,Italy,,Host-associated,Plants,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0623468,Nematospora coryli CCRC 21343,EUKARYAL,Nematospora coryli,FUNGI-ASCOMYCOTA,33173,Yes,Natural,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Eremothecium,Eremothecium coryli,,,,,,,,,,,,,,,,,,,Corylus avellana,Italy,,Host-associated,Plants,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0623467,Nematospora coryli DSM 6981,EUKARYAL,Nematospora coryli,FUNGI-ASCOMYCOTA,33173,Yes,Natural,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Eremothecium,Eremothecium coryli,,,,,,,,,,,,,,,,,,,Corylus avellana,Italy,,Host-associated,Plants,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0623466,Nematospora coryli IFO 1220,EUKARYAL,Nematospora coryli,FUNGI-ASCOMYCOTA,33173,Yes,Natural,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Eremothecium,Eremothecium coryli,,,,,,,,,,,,,,,,,,,Corylus avellana,Italy,,Host-associated,Plants,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0623465,Nematospora coryli NBRC 1220,EUKARYAL,Nematospora coryli,FUNGI-ASCOMYCOTA,33173,Yes,Natural,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Eremothecium,Eremothecium coryli,,,,,,,,,,,,,,,,,,,Corylus avellana,Italy,,Host-associated,Plants,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0623464,Nematospora coryli NCYC 504,EUKARYAL,Nematospora coryli,FUNGI-ASCOMYCOTA,33173,Yes,Natural,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Eremothecium,Eremothecium coryli,,,,,,,,,,,,,,,,,,,Corylus avellana,Italy,,Host-associated,Plants,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0623463,Nematospora coryli NRRL Y-12970,EUKARYAL,Nematospora coryli,FUNGI-ASCOMYCOTA,33173,Yes,Natural,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Eremothecium,Eremothecium coryli,,,,,,,,,,,,,,,,,,,Corylus avellana,Italy,,Host-associated,Plants,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0623462,Nematospora coryli VKM Y-271,EUKARYAL,Nematospora coryli,FUNGI-ASCOMYCOTA,33173,Yes,Natural,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Eremothecium,Eremothecium coryli,,,,,,,,,,,,,,,,,,,Corylus avellana,Italy,,Host-associated,Plants,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0623442,Saccharomyces microellipsoides ATCC 10605,EUKARYAL,Saccharomyces microellipsoides,FUNGI-ASCOMYCOTA,1136883,Yes,Natural,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Torulaspora,Torulaspora microellipsoides,,,,,,,,,,,,,,,,,,,apple juice,Germany,,Engineered,Food production,Beverages,,,,,,,,Mesophile,,,,,,,,
Go0623441,Saccharomyces microellipsoides CBS 427,EUKARYAL,Saccharomyces microellipsoides,FUNGI-ASCOMYCOTA,1136883,Yes,Natural,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Torulaspora,Torulaspora microellipsoides,,,,,,,,,,,,,,,,,,,apple juice,Germany,,Engineered,Food production,Beverages,,,,,,,,Mesophile,,,,,,,,
Go0623440,Saccharomyces microellipsoides CCRC 21759,EUKARYAL,Saccharomyces microellipsoides,FUNGI-ASCOMYCOTA,1136883,Yes,Natural,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Torulaspora,Torulaspora microellipsoides,,,,,,,,,,,,,,,,,,,apple juice,Germany,,Engineered,Food production,Beverages,,,,,,,,Mesophile,,,,,,,,
Go0623439,Saccharomyces microellipsoides DBVPG 6188,EUKARYAL,Saccharomyces microellipsoides,FUNGI-ASCOMYCOTA,1136883,Yes,Natural,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Torulaspora,Torulaspora microellipsoides,,,,,,,,,,,,,,,,,,,apple juice,Germany,,Engineered,Food production,Beverages,,,,,,,,Mesophile,,,,,,,,
Go0623438,Saccharomyces microellipsoides DSM 6959,EUKARYAL,Saccharomyces microellipsoides,FUNGI-ASCOMYCOTA,1136883,Yes,Natural,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Torulaspora,Torulaspora microellipsoides,,,,,,,,,,,,,,,,,,,apple juice,Germany,,Engineered,Food production,Beverages,,,,,,,,Mesophile,,,,,,,,
Go0623437,Saccharomyces microellipsoides IFO 1740,EUKARYAL,Saccharomyces microellipsoides,FUNGI-ASCOMYCOTA,1136883,Yes,Natural,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Torulaspora,Torulaspora microellipsoides,,,,,,,,,,,,,,,,,,,apple juice,Germany,,Engineered,Food production,Beverages,,,,,,,,Mesophile,,,,,,,,
Go0623436,Saccharomyces microellipsoides NBRC 1740,EUKARYAL,Saccharomyces microellipsoides,FUNGI-ASCOMYCOTA,1136883,Yes,Natural,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Torulaspora,Torulaspora microellipsoides,,,,,,,,,,,,,,,,,,,apple juice,Germany,,Engineered,Food production,Beverages,,,,,,,,Mesophile,,,,,,,,
Go0623435,Saccharomyces microellipsoides VKM Y-484,EUKARYAL,Saccharomyces microellipsoides,FUNGI-ASCOMYCOTA,1136883,Yes,Natural,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Torulaspora,Torulaspora microellipsoides,,,,,,,,,,,,,,,,,,,apple juice,Germany,,Engineered,Food production,Beverages,,,,,,,,Mesophile,,,,,,,,
Go0623434,Candida versatilis ATCC 60131,EUKARYAL,Candida versatilis,FUNGI-ASCOMYCOTA,27304,Yes,Natural,Ascomycota,Dipodascomycetes,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella versatilis,,,,,,,,,,,,,,,,,,,"cucumber brine, fermenting",USA,,Host-associated,Plants,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0623433,Candida versatilis CBS 1752,EUKARYAL,Candida versatilis,FUNGI-ASCOMYCOTA,27304,Yes,Natural,Ascomycota,Dipodascomycetes,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella versatilis,,,,,,,,,,,,,,,,,,,"cucumber brine, fermenting",USA,,Host-associated,Plants,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0623432,Candida versatilis CCRC 21411,EUKARYAL,Candida versatilis,FUNGI-ASCOMYCOTA,27304,Yes,Natural,Ascomycota,Dipodascomycetes,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella versatilis,,,,,,,,,,,,,,,,,,,"cucumber brine, fermenting",USA,,Host-associated,Plants,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0623431,Candida versatilis DSM 6956,EUKARYAL,Candida versatilis,FUNGI-ASCOMYCOTA,27304,Yes,Natural,Ascomycota,Dipodascomycetes,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella versatilis,,,,,,,,,,,,,,,,,,,"cucumber brine, fermenting",USA,,Host-associated,Plants,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0623430,Candida versatilis FFL Y-191,EUKARYAL,Candida versatilis,FUNGI-ASCOMYCOTA,27304,Yes,Natural,Ascomycota,Dipodascomycetes,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella versatilis,,,,,,,,,,,,,,,,,,,"cucumber brine, fermenting",USA,,Host-associated,Plants,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0623429,Candida versatilis IFO 10056,EUKARYAL,Candida versatilis,FUNGI-ASCOMYCOTA,27304,Yes,Natural,Ascomycota,Dipodascomycetes,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella versatilis,,,,,,,,,,,,,,,,,,,"cucumber brine, fermenting",USA,,Host-associated,Plants,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0623428,Candida versatilis JCM 8065,EUKARYAL,Candida versatilis,FUNGI-ASCOMYCOTA,27304,Yes,Natural,Ascomycota,Dipodascomycetes,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella versatilis,,,,,,,,,,,,,,,,,,,"cucumber brine, fermenting",USA,,Host-associated,Plants,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0623427,Candida versatilis NBRC 10056,EUKARYAL,Candida versatilis,FUNGI-ASCOMYCOTA,27304,Yes,Natural,Ascomycota,Dipodascomycetes,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella versatilis,,,,,,,,,,,,,,,,,,,"cucumber brine, fermenting",USA,,Host-associated,Plants,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0623426,Candida versatilis NCYC 972,EUKARYAL,Candida versatilis,FUNGI-ASCOMYCOTA,27304,Yes,Natural,Ascomycota,Dipodascomycetes,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella versatilis,,,,,,,,,,,,,,,,,,,"cucumber brine, fermenting",USA,,Host-associated,Plants,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0623425,Candida versatilis VKM Y-772,EUKARYAL,Candida versatilis,FUNGI-ASCOMYCOTA,27304,Yes,Natural,Ascomycota,Dipodascomycetes,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella versatilis,,,,,,,,,,,,,,,,,,,"cucumber brine, fermenting",USA,,Host-associated,Plants,Unclassified,,,,,,,,Mesophile,,,,,,,,
Go0623424,Wickerhamomyces bisporus ATCC 10627,EUKARYAL,Wickerhamomyces bisporus,FUNGI-ASCOMYCOTA,36018,Yes,Natural,Ascomycota,Saccharomycetes,Phaffomycetales,Wickerhamomycetaceae,Wickerhamomyces,Wickerhamomyces bisporus,,,,,,,,,,,,,,,,,,,"Picea abies, bark with tunnels of Ips typographus",Austria,,Host-associated,Plants,Tissue,,,,,,,,Mesophile,,,,,,,,
Go0623423,Wickerhamomyces bisporus BCRC 20468,EUKARYAL,Wickerhamomyces bisporus,FUNGI-ASCOMYCOTA,36018,Yes,Natural,Ascomycota,Saccharomycetes,Phaffomycetales,Wickerhamomycetaceae,Wickerhamomyces,Wickerhamomyces bisporus,,,,,,,,,,,,,,,,,,,"Picea abies, bark with tunnels of Ips typographus",Austria,,Host-associated,Plants,Tissue,,,,,,,,Mesophile,,,,,,,,
Go0623422,Wickerhamomyces bisporus CBS 1890,EUKARYAL,Wickerhamomyces bisporus,FUNGI-ASCOMYCOTA,36018,Yes,Natural,Ascomycota,Saccharomycetes,Phaffomycetales,Wickerhamomycetaceae,Wickerhamomyces,Wickerhamomyces bisporus,,,,,,,,,,,,,,,,,,,"Picea abies, bark with tunnels of Ips typographus",Austria,,Host-associated,Plants,Tissue,,,,,,,,Mesophile,,,,,,,,
Go0623421,Wickerhamomyces bisporus DSM 6955,EUKARYAL,Wickerhamomyces bisporus,FUNGI-ASCOMYCOTA,36018,Yes,Natural,Ascomycota,Saccharomycetes,Phaffomycetales,Wickerhamomycetaceae,Wickerhamomyces,Wickerhamomyces bisporus,,,,,,,,,,,,,,,,,,,"Picea abies, bark with tunnels of Ips typographus",Austria,,Host-associated,Plants,Tissue,,,,,,,,Mesophile,,,,,,,,
Go0623420,Wickerhamomyces bisporus IFO 0803,EUKARYAL,Wickerhamomyces bisporus,FUNGI-ASCOMYCOTA,36018,Yes,Natural,Ascomycota,Saccharomycetes,Phaffomycetales,Wickerhamomycetaceae,Wickerhamomyces,Wickerhamomyces bisporus,,,,,,,,,,,,,,,,,,,"Picea abies, bark with tunnels of Ips typographus",Austria,,Host-associated,Plants,Tissue,,,,,,,,Mesophile,,,,,,,,
Go0623419,Wickerhamomyces bisporus JCM 3590,EUKARYAL,Wickerhamomyces bisporus,FUNGI-ASCOMYCOTA,36018,Yes,Natural,Ascomycota,Saccharomycetes,Phaffomycetales,Wickerhamomycetaceae,Wickerhamomyces,Wickerhamomyces bisporus,,,,,,,,,,,,,,,,,,,"Picea abies, bark with tunnels of Ips typographus",Austria,,Host-associated,Plants,Tissue,,,,,,,,Mesophile,,,,,,,,
Go0623418,Wickerhamomyces bisporus NBRC 803,EUKARYAL,Wickerhamomyces bisporus,FUNGI-ASCOMYCOTA,36018,Yes,Natural,Ascomycota,Saccharomycetes,Phaffomycetales,Wickerhamomycetaceae,Wickerhamomyces,Wickerhamomyces bisporus,,,,,,,,,,,,,,,,,,,"Picea abies, bark with tunnels of Ips typographus",Austria,,Host-associated,Plants,Tissue,,,,,,,,Mesophile,,,,,,,,
Go0623417,Wickerhamomyces bisporus NCYC 494,EUKARYAL,Wickerhamomyces bisporus,FUNGI-ASCOMYCOTA,36018,Yes,Natural,Ascomycota,Saccharomycetes,Phaffomycetales,Wickerhamomycetaceae,Wickerhamomyces,Wickerhamomyces bisporus,,,,,,,,,,,,,,,,,,,"Picea abies, bark with tunnels of Ips typographus",Austria,,Host-associated,Plants,Tissue,,,,,,,,Mesophile,,,,,,,,
Go0623416,Wickerhamomyces bisporus NRRL Y-1482,EUKARYAL,Wickerhamomyces bisporus,FUNGI-ASCOMYCOTA,36018,Yes,Natural,Ascomycota,Saccharomycetes,Phaffomycetales,Wickerhamomycetaceae,Wickerhamomyces,Wickerhamomyces bisporus,,,,,,,,,,,,,,,,,,,"Picea abies, bark with tunnels of Ips typographus",Austria,,Host-associated,Plants,Tissue,,,,,,,,Mesophile,,,,,,,,
Go0623415,Wickerhamomyces bisporus VKM Y-1394,EUKARYAL,Wickerhamomyces bisporus,FUNGI-ASCOMYCOTA,36018,Yes,Natural,Ascomycota,Saccharomycetes,Phaffomycetales,Wickerhamomycetaceae,Wickerhamomyces,Wickerhamomyces bisporus,,,,,,,,,,,,,,,,,,,"Picea abies, bark with tunnels of Ips typographus",Austria,,Host-associated,Plants,Tissue,,,,,,,,Mesophile,,,,,,,,
Go0623403,Dioszegia hungarica ATCC 24921,EUKARYAL,Dioszegia hungarica,FUNGI-BASIDIOMYCOTA,4972,Yes,Natural,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia hungarica,,,,,,,,,,,,,,,,,,,soil,Hungary,,Environmental,Terrestrial,Soil,,,,,,,,Psychrophile,,,,,,,,
Go0623402,Dioszegia hungarica CBS 4214,EUKARYAL,Dioszegia hungarica,FUNGI-BASIDIOMYCOTA,4972,Yes,Natural,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia hungarica,,,,,,,,,,,,,,,,,,,soil,Hungary,,Environmental,Terrestrial,Soil,,,,,,,,Psychrophile,,,,,,,,
Go0623401,Dioszegia hungarica CCRC 21600,EUKARYAL,Dioszegia hungarica,FUNGI-BASIDIOMYCOTA,4972,Yes,Natural,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia hungarica,,,,,,,,,,,,,,,,,,,soil,Hungary,,Environmental,Terrestrial,Soil,,,,,,,,Psychrophile,,,,,,,,
Go0623400,Dioszegia hungarica DSM 6903,EUKARYAL,Dioszegia hungarica,FUNGI-BASIDIOMYCOTA,4972,Yes,Natural,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia hungarica,,,,,,,,,,,,,,,,,,,soil,Hungary,,Environmental,Terrestrial,Soil,,,,,,,,Psychrophile,,,,,,,,
